position,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
1,MTFSP is................................,Medium Term Fiscal Strategy Paper,Mid-Term Financial Solution Policy,Medium Term Funding Strategic Plan,Mid-Term Framework Support Programme.,A,,,medium
2,MTFF implies....................,Mid-Term Funding Focus.,Medium-Term Fiscal Framework.,Mid Term Financial Framework.,Medium Term Funding Focus.,B,,,medium
3,".........................serve as the statutory foundational documents for preparing the national budget, as well as for macroeconomic projections and spending plans for a rolling three-year period in Nigeria.",NRPP/STP,ERPS/STP,MTEF/FSP,DSCE/NRP,C,,,medium
4,...............is a situation where the anticipated expenditure is higher than the projected revenue over a period of one year.,Balanced budget,zero-based budget,expenditure budget,budget deficit.,D,,,medium
5,...........................was introduced for ensuring prudent management of national resources through MTEF and other budgetary reforms.,"Fiscal Responsibility Act (FRA), 2007.","Budget Office Act (BOA), 2009.","Nigeria Revenue Act (NRA), 2025.","National Salaries, Income and Wages Act, 2019.",A,,,medium
6,...............is any income or returns accruing to or derived by the government of the federation from any sources.,Surplus budget,Kaizen financing,Activity-based financing,Revenue,D,,,medium
7,The Nigeria's national budget can also be referred to as.....................,Disbursement Act,Ailing finance,Appropriation Act.,Bankruptcy.,C,,,medium
8,"With effect from 1st January, 2026, IPSAS 47 would unify and replace .........",IPSAS 9 (Exchange Transactions).,IPSAS 11 (Construction Contracts).,IPSAS 23 (Non-Exchange Transactions).,All of the above.,D,,,medium
9,"IPSAS 43 replaces ................on leases with effect from 1st January, 2026.",IPSAS 4,IPSAS 13,IPSAS 21,IPSAS 33,B,,,medium
10,"Effective 1st January, 2026, IPSAS 45 on Property, Plant and Equipment) replaces ...........",IPSAS 17,IPSAS 22,IPSAS 30,IPSAS 1,A,,,medium
11,"The provision for the establishment of a special pool account, called Federation Account in Nigeria is in............",Section 85 (2) of the 1999 Constitution.,Section 11 of the 1999 Constitution.,Section 162 of the 1999 COnstitution.,Section 23 of the 1999 Constitution.,C,,,medium
12,Federation Account Allocation Committee (FAAC) was establsihed through ..........................to deal with Revenue Allocation among the three teirs of government in Nigeria.,"Federal Inland Revenue Act, 2007 as amended.","Revenue Allocation and Distribution Act, 1992 as amended.","Fiscal Responsibility Act, 2007 as amended.","Control (Finance & Management) Act, 1958 as amended.",B,,,medium
13,The balance in the Federation Account is distributed among the three tiers of government after deducting...................,10% Local Government Special Fund.,7.5% Value Added Tax (VAT),13% Derivation,5% Withholding Tax (WHT).,C,,,medium
14,Federation Account Allocation Committee (FAAC) is is sub-divided into....................,Technical Session.,Plenary Session.,Post-mortem Session.,All of the above.,D,,,medium
15,Federation Account maintains...............after the revenue sharing at the end of every month.,Surplus Balance,None of the above.,Nil Balance,Deficit Balance,C,,REVIEW REQUIRED — source question 105: missing option B; duplicate option label(s): D; duplicated option text preserved separately: D. None of the above.,medium
16,FAAC Technical Session meets a day before the Plenary Session to..............,consider the accounts of the Revenue Collecting Agencies and Pensions.,consider the accounts of Revenue available for distribution.,make recommendations to the plenary session for the adoption of the accounts.,all of the above.,D,,,medium
17,which of the following are functions of the Plenary Sub-Committee of the FAAC?,To further deliberate on the accounts ONLY.,To adopt the accounts for distribution to the beneficiaries ONLY.,Both A and B Options.,None of the above.,C,,,medium
18,Who are members of the FAAC sub-committee - Technical Session?..............,Accountant General of the Federation as the Chairman.,Accountant Generals from each State of the Federation as members.,"Representatives from Agencies such as NNPCL, NRS, NCS, NUPRC, RMAFC, FMF, CBN, NPC,MSMD.",All of the above,D,,,medium
19,The Plenary Session meets .................the technical session's meeting.,After,During,Before,None of the above.,A,,,medium
20,The membership of the Plenary Session comprise the any of the following:,ONLY the Honourable Minister of Finance as the Chairman.,"ONLY the Accountant General of the Federation as well as Representatives from Agencies such as NNPCL, NRS, NCS, NUPRC, RMAFC, FMF, CBN, NPC,MSMD.",ONLY the States' Accountant General as well as States' Commissioner for Finance.,All of the above.,C,,REVIEW REQUIRED — source question 110: missing option D; duplicate option label(s): C; duplicated option text preserved separately: C. All of the above.,medium
21,The purpose of the ............is to examine the revenue inflows by reconciling discrepancies between Revenue agencies's report and actual acredits into the Federation Account of Nigeria.,Technical Sub-Committee of the FAAC,Post-Mortem Sub-Committee of the FAAC,Plenary Sub-Committee of the FAAC,None of the above.,B,,,medium
22,The vertical distribution of national revenue is.,"Federal (52.68%), State (26.72%) and Local Government (20.60)","Federal (49.60%), State (33.78%) and Local Government (16.62)","Federal (53.60%), State (26.78%) and Local Government (19.62)",None of the above.,A,,,medium
23,One of the followings is the Federal Government Share of its proceeds from the Federation Account.,"FGN (44.50%), FCT (2%), Derivation & Ecology (2%), Devt.of Natural Resources (3.18%), Stabilization Fund (1.0%)","FGN (46.0%),  FCT (2%), Derivation & Ecology (2%), Devt.of Natural Resources (0.68%), Stabilization Fund (2.0%)","FGN (48.50%), FCT (1%), Derivation & Ecology (1%), Devt.of Natural Resources (1.68%), Stabilization Fund (0.5%)",All of the above.,C,,,medium
24,The horizonal distribution of national revenue is.,"Equality of states (40.0%), Population (30.0%), Land Mass and Terrain (10.0%), Social Development Factor (10.0%) and Internal Revenue Effort (10.0%).","Equality of states (25.0%), Population (35.0%), Land Mass and Terrain (15.0%), Social Development Factor (10.0%) and Internal Revenue Effort (15.0%).","Equality of states (35.0%), Population (25.0%), Land Mass and Terrain (12.5%), Social Development Factor (15.0%) and Internal Revenue Effort (12.5%).",None of the above.,A,,,medium
25,"Value Added Tax (VAT) sharing ratios among the three (3) tiers of government are.........., ............ and ..................","Federal (20%), State (60%) and Local Government (20%)","Federal (10%), State (55%) and Local Government (35%)","Federal (18%), State (52%) and Local Government (30%)","Federal (25%), State (45%) and Local Government (30%)",B,,,medium
26,.................. was established by an Act of the National Assembly in 2011 to manage funds in excess of budgeted hydrocarbon revenue,Federal Ministry of Finance Incorporated (MOFI),Nigeria Revenue Service (NRS),Nigeria Sovereign Investment  Authority (NSIA),"Revenue Mobilization, Allocation and Fiscal Commission. (RMAFC).",C,,,medium
27,The NSIA's ownership interest is held by all the Federating units in the ratio?,"FGN (46.4%), State (34.9%), Local Govt. (18.2%) and FCT (0.5%).","FGN (41.4%), State (39.9%), Local Govt. (16.2%) and FCT (2.5%).","FGN (39.4%), State (36.9%), Local Govt. (20.2%) and FCT (1.5%).","FGN (36.4%), State (38.9%), Local Govt. (22.2%) and FCT (2.5%).",A,,,medium
28,The objectives of Nigeria Sovereign Investment  Authority (NSIA) include the following except one:,To build a savings base for future generations of Nigerians.,To enhance the development of domestic infrastructure.,To provide economic stabilization support during periods of severe stress.,To promote industrial harmony among the key employees of the Nigerian Government for higher productivity and performance.,D,,,medium
29,"The following but one, are types of savings coordinated by the Nigeria Sovereign Investment Authority (NSIA)",Post-Service Investment Fund (PSIF),Future Generations Fund (FGF),Stabilisation Fund (SF),Nigeria Infrastructure Fund (NIF),A,,,medium
30,The 7.5% Value Added Tax (VAT) was introduced in Nigeria through the .....................,"Data Protection Act, 2023.","Federal Inland Revenue Act, 2007.","Finance Act, 2019.",President's Executive Order 8 of 2022.,C,,,medium
